Name,Count,Source,Type,EN ISO 19115,Data theme,Countries
23) การวิจัยและพัฒนานวัตกรรม,1000,CKAN,Theme,,TECH,
Salute,986,CKAN,Theme,Health,HEAL,
Trasparenza,971,DCAT,Theme,,GOVE,
Urbanismo e infraestructuras,962,CKAN,Theme,,REGI,
行財政,935,CKAN,Theme,,GOVE,
Environment,928,OpenDataSoft,Theme,Environment,ENVI,
City Government,905,DCAT,Theme,,REGI,
hydrogeology,861,Geonetwork,Theme,"Oceans,Inland Waters",,
Economy and finance,853,CKAN,Theme,Economy,ECON,
Educación,849,CKAN,Theme,,EDUC,
Agriculture and Fishing,842,CKAN,Theme,Farming,AGRI,
Temperature,835,CKAN,Theme,Environment,ENVI,
Infrastructure,825,CKAN,Theme,,REGI,
Local government,815,CKAN,Theme,,REGI,
Government,782,DCAT,Theme,,GOVE,
Public Safety,773,DCAT,Theme,,JUST,
Energy & Environment,766,DCAT,Theme,Environment,"ENER,ENVI",
สาขาเกษตรและประมง,748,CKAN,Theme,Farming,AGRI,
Pertanian,745,CKAN,Theme,Farming,AGRI,
"Administration, Government, Public finances, Citizenship",743,OpenDataSoft,Theme,,GOVE,
Данные ЦБ РФ,721,CKAN,Theme,,ECON,
Government,686,CKAN,Theme,,GOVE,
Gobierno,685,CKAN,Theme,,GOVE,
Social Services,677,CKAN,Theme,,GOVE,
Economía,673,CKAN,Theme,Economy,ECON,
Precipitation,663,CKAN,Theme,Environment,ENVI,
الأمن الغذائي,662,CKAN,Theme,Farming,AGRI,
United States,656,CKAN,Theme,,,United States
Climate,655,CKAN,Theme,Environment,ENVI,
Ekonomi,642,CKAN,Theme,Economy,ECON,
Adjusted Budget Vote Documents,635,CKAN,Theme,Economy,"GOVE,ECON",
"Transports, Déplacements",625,OpenDataSoft,Theme,Transportation,TRAN,
Bancian,622,CKAN,Theme,Society,SOCI,
環境,613,CKAN,Theme,Environment,ENVI,
Kesihatan,608,CKAN,Theme,Health,HEAL,
population,591,CKAN,Theme,Society,SOCI,
16) เศรษฐกิจฐานราก,591,CKAN,Theme,Economy,ECON,
Government reporting and policy,590,CKAN,Theme,,GOVE,
Kenya,584,CKAN,Theme,,,Kenya
Transporte,584,CKAN,Theme,Transportation,TRAN,
Данные системы ЕСИМО,581,CKAN,Theme,Oceans,ENVI,
Science,580,CKAN,Theme,,TECH,
Burkina Faso,569,CKAN,Theme,,,Burkina Faso
Transport and Communications,567,CKAN,Theme,Transportation,TRAN,
Population and society,567,CKAN,Theme,Society,SOCI,
"Aménagement du territoire, Urbanisme, Bâtiments, Équipements, Logement",567,OpenDataSoft,Theme,Planning / Cadastre,,
สาขาทรัพยากรธรรมชาติและสิ่งแวดล้อม,554,CKAN,Theme,Environment,ENVI,
الزراعة,546,CKAN,Theme,Farming,AGRI,
Trade (internal and external),543,CKAN,Theme,Economy,ECON,
Transportation,535,CKAN,Theme,Transportation,TRAN,
Local Authority,519,CKAN,Theme,,REGI,
Education and Training,505,CKAN,Theme,,EDUC,
Environment,490,DCAT,Theme,Environment,ENVI,
Economy,481,OpenDataSoft,Theme,Economy,ECON,
prospection,478,Geonetwork,Theme,Geoscientific Information,,
Energía,477,CKAN,Theme,,ENER,
geoscientificinformation,472,Geonetwork,Theme,Geoscientific Information,,
Biota,470,CKAN,Theme,Biota,ENVI,
Pemerintahan,469,CKAN,Theme,,GOVE,
"Agricoltura, pesca, silvicoltura e prodotti alimentari",467,CKAN,Theme,Farming,AGRI,
"Education, Formation, Recherche, Enseignement",462,OpenDataSoft,Theme,,EDUC,
Energia,453,CKAN,Theme,,ENER,
Transport,446,OpenDataSoft,Theme,Transportation,TRAN,
Space Science,442,DCAT,Theme,,TECH,
Property and Planning,438,CKAN,Theme,Planning / Cadastre,,
Economía y finanzas,437,CKAN,Theme,Economy,ECON,
Aqua,436,DCAT,Theme,"Inland Waters,Oceans",,
Dominican Republic,434,CKAN,Theme,,,Dominican Republic
Fiscal Openness,433,CKAN,Theme,Economy,"ECON,GOVE",
"Environnement, ressources naturelles et énergie",431,CKAN,Theme,Environment,ENVI,
Ethiopia,425,CKAN,Theme,,,Ethiopia
Territoire,423,OpenDataSoft,Theme,Planning / Cadastre,REGI,
"Spatial planning, Town planning, Buildings, Equipment, Housing",417,OpenDataSoft,Theme,,REGI,
Finance,417,OpenDataSoft,Theme,Economy,ECON,
Infrastructures,415,CKAN,Theme,,REGI,
Colombia,413,CKAN,Theme,,,Colombia
Territorio,410,DCAT,Theme,Planning / Cadastre,,
Administration et action publique,407,CKAN,Theme,,GOVE,
"Services, Social",402,OpenDataSoft,Theme,Society,SOCI,
Sociedad y bienestar,400,CKAN,Theme,Society,SOCI,
South Sudan,397,CKAN,Theme,,,South Sudan
Environnement et climat,395,CKAN,Theme,Environment,ENVI,
oceans,395,CKAN,Theme,Environment,ENVI,
engineeringGeology,395,Geonetwork,Theme,Geoscientific Information,,
Accounts Financial Monetary Affairs and Industry,393,CKAN,Theme,,ECON,
Oceans,393,Geonetwork,Theme,Oceans,ENVI,
Health,388,OpenDataSoft,Theme,Health,HEAL,
Uganda,387,CKAN,Theme,,,Uganda
Regioni e città,387,OpenDataSoft,Theme,,REGI,
Cultura,381,CKAN,Theme,,EDUC,
Health and Human Services,381,DCAT,Theme,Health,HEAL,
Ambiente,378,DCAT,Theme,Environment,ENVI,
Democratic Republic of the Congo,376,CKAN,Theme,,,Congo
Sudan,373,CKAN,Theme,,,Sudan
Somalia,372,CKAN,Theme,,,Somalia
"Economy, Business, SME, Economic development, Employment",370,OpenDataSoft,Theme,Economy,ECON,
Afghanistan,369,CKAN,Theme,,,Afganistan
Finance,369,DCAT,Theme,Economy,ECON,
Maps and geospatial,368,CKAN,Theme,Imagery / Base Maps / Earth Cover,,
Terra,358,DCAT,Theme,Planning / Cadastre,,
Administration,346,OpenDataSoft,Theme,,GOVE,
Gouvernement et finances,345,CKAN,Theme,Economy,"GOVE,ECON",
Environment,345,Geonetwork,Theme,Environment,ENVI,
International Trade ,336,CKAN,Theme,Economy,ECON,
Surveys,331,DCAT,Theme,Society,SOCI,
Mozambique,329,CKAN,Theme,,,Mozambique
Business,328,CKAN,Theme,Economy,ECON,
Transportation,326,OpenDataSoft,Theme,Transportation,TRAN,
Territory and environment,325,OpenDataSoft,Theme,Planning / Cadastre,"REGI,ENVI",
"Water, energy, resources, environment and science",323,CKAN,Theme,Environment,ENER,
Government and Taxes,321,DCAT,Theme,Economy,"GOVE,ECON",
City Administration,320,CKAN,Theme,,REGI,
Mobilité,318,OpenDataSoft,Theme,Transportation,TRAN,
Mali,312,CKAN,Theme,,,Mali
Governo e settore pubblico,312,OpenDataSoft,Theme,,GOVE,
Chad,311,CKAN,Theme,,,Chad
Déplacements - transports,311,OpenDataSoft,Theme,Transportation,TRAN,
Cameroon,310,CKAN,Theme,,,Cameroon
Social Justice,310,CKAN,Theme,,JUST,
Bangladesh,310,CKAN,Theme,,,Bangladesh
Syrian Arab Republic,309,CKAN,Theme,,,Syria
Philippines,307,CKAN,Theme,,,Philippines
Demografía,306,CKAN,Theme,Society,SOCI,
Niger,303,CKAN,Theme,,,Niger
Population and Housing,300,CKAN,Theme,Society,SOCI,
mineralResources,297,Geonetwork,Theme,Geoscientific Information,,
Social Services,296,DCAT,Theme,Society,SOCI,
